"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 4",1,0,1723393,111,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",473,765572205371441,765572210425895,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,112,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",474,765572210523496,765572218896226,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,113,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",479,765572219056868,765572221092250,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,114,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",484,765572221157851,765572227889603,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,115,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",489,765572228053445,765572236866180,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,116,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",490,765572236980261,765572241810873,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,117,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",491,765572241914394,765572246473163,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,118,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",492,765572246573484,765572250954331,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,119,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",493,765572251053692,765572252344586,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,120,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",494,765572252367146,765572257368640,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,121,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",495,765572257465761,765572265836091,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,122,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",500,765572265997906,765572268039688,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,123,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",505,765572268107848,765572274916882,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,124,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",510,765572275081203,765572283907058,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,125,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",511,765572284020340,765572288828552,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,126,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",512,765572288930793,765572293523002,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,127,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",513,765572293624923,765572298030571,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,128,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",514,765572298129132,765572299440506,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,129,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",515,765572299463226,765572304687122,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,130,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",516,765572304785683,765572313149294,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,131,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",521,765572313310255,765572315329797,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,132,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",526,765572315394438,765572322150351,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,133,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",531,765572322314355,765572331166770,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,134,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",532,765572331281331,765572336109383,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,135,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",533,765572336213224,765572340805913,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,136,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",534,765572340908314,765572345308042,1536,0,108,4,112,192,1,1,84480,1,1
